pleasant, agradable; agreeable
slender, delgado
happy, alegre; contento; feliz
difficult, difícil
inexpensive, barato
great; terrific, estupendo
expensive, caro
excellent, excelente
weak, débil
easy, fácil
fantastic, fantástico
interesting, interesante
young, joven
ugly, feo
marvelous, maravilloso
thin, flaco
little;small, pequeño
fragile, frágil
poor, pobre
strong, fuerte
rich, rico
fat, gordo
nice (simpatico), simpático
big, grande
sincere, sincero
handsome, guapo
sting, tacaño
typical, típico
beautiful, hermoso
sad, triste
horrible, horrible
old, viejo
intelligent, inteligente
pretty, bonito
tired, cansado
sick, enfermo
angry, enojado
pretty, lindo
gustoso; saporito, sabroso
exhausted, exhausto; agotado
ampio, amplio
antico, antiguo
fine; delicato, fino
spesso (thick), grueso
clean, limpio
simple, sencillo
enough, bastante
relaxing, relajante
tall, alto
lax, flojo
kind, amable
amusing, gracioso
friendly, amistoso
deep, hondo
wide, ancho
long, largo
low;short, bajo
slow, lento
beautiful, bello
free, libre
affectionate, cariñoso
new, nuevo
blind, ciego
proud, orgulloso
short (in length), corto
dangerous, peligroso
sweet, dulce
heavy;dull, pesado
hard, duro
rapid;fast, rápido
elegant, elegante
strange;unusual;uncommon, raro,estraño
exciting, emocionante
excited, emocionado
simple, sencillo
special, especial
deaf, sordo
narrow, estrecho
soft, suave
faithful, fiel
tranquil, tranquilo
funny, cómico
full, lleno
hot;warm, caliente
delicious, delicioso; sabroso
fresh, fresco
cold, frìo
spicy, picante
healthy, sano
dry, seco
dirty, sucio
empty, vacìo